"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Vienna","Vienna","48.2083","16.3725","Austria","AT","AUT","Wien","primary","2223236","1040261752"
"Rome","Rome","41.8931","12.4828","Italy","IT","ITA","Lazio","primary","2748109","1380382862"
"Paris","Paris","48.8567","2.3522","France","FR","FRA","Île-de-France","primary","11060000","1250015082"
"Paris","Paris","43.2000","-80.3833","Canada","CA","CAN","Ontario","","14956","1124828151"
"Berlin","Berlin","52.5200","13.4050","Germany","DE","DEU","Berlin","primary","4679500","1276451290"
"Madrid","Madrid","40.4169","-3.7033","Spain","ES","ESP","Madrid","primary","6211000","1724616994"
"Madrid","Madrid","4.7344","-74.2683","Colombia","CO","COL","Cundinamarca","minor","112254","1170693388"
"Madrid","Madrid","9.2619","125.9647","Philippines","PH","PHL","Surigao del Sur","","16653","1608854529"
"Lisbon","Lisbon","38.7122","-9.1340","Portugal","PT","PRT","Lisboa","primary","548703","1620619017"
"Athens","Athens","37.9842","23.7281","Greece","GR","GRC","Attikí","primary","3059764","1300715560"
"Amsterdam","Amsterdam","52.3728","4.8936","Netherlands","NL","NLD","Noord-Holland","primary","1477213","1528355309"
"Brussels","Brussels","50.8467","4.3525","Belgium","BE","BEL","Brussels-Capital Region","primary","1249597","1056469830"
"Zagreb","Zagreb","45.8131","15.9772","Croatia","HR","HRV","Zagreb, Grad","primary","767131","1191233290"
"Sofia","Sofia","42.6979","23.3217","Bulgaria","BG","BGR","Sofia-Grad","primary","1404116","1100762037"
"Copenhagen","Copenhagen","55.6805","12.5615","Denmark","DK","DNK","Hovedstaden","primary","1366301","1208763942"
"Helsinki","Helsinki","60.1708","24.9375","Finland","FI","FIN","Uusimaa","primary","1360075","1246177997"
"Oslo","Oslo","59.9133","10.7389","Norway","NO","NOR","Oslo","primary","709037","1578324706"
"Stockholm","Stockholm","59.3275","18.0547","Sweden","SE","SWE","Stockholm","primary","995574","1752425602"
"Prague","Prague","50.0875","14.4214","Czechia","CZ","CZE","Praha","primary","1384732","1203744823"
"Warsaw","Warsaw","52.2300","21.0111","Poland","PL","POL","Mazowieckie","primary","2028000","1616024847"
"Budapest","Budapest","47.4983","19.0408","Hungary","HU","HUN","Budapest","primary","1686222","1348611435"
"Dublin","Dublin","53.3497","-6.2603","Ireland","IE","IRL","Dublin","primary","592713","1372595407"
"London","London","51.5074","-0.1278","United Kingdom","GB","GBR","England","primary","9002488","1826645935"
"Ljubljana","Ljubljana","46.0514","14.5061","Slovenia","SI","SVN","Ljubljana","primary","284293","1705917455"
"Bratislava","Bratislava","48.1447","17.1128","Slovakia","SK","SVK","Bratislava","primary","475503","1703195001"
"Luxembourg","Luxembourg","49.6117","6.1319","Luxembourg","LU","LUX","Luxembourg","primary","132780","1442262731"
"Valletta","Valletta","35.8983","14.5125","Malta","MT","MLT","Valletta","primary","480134","1470574399"
"Nicosia","Nicosia","35.1725","33.3650","Cyprus","CY","CYP","Lefkosía","primary","330000","1196944155"
"Nicosia","Nicosia","37.7500","14.4000","Italy","IT","ITA","Sicilia","","12686","1380619404"
"Tallinn","Tallinn","59.4372","24.7453","Estonia","EE","EST","Tallinn","primary","638076","1233260021"
"Riga","Riga","56.9475","24.1069","Latvia","LV","LVA","Rīga","primary","605273","1428586192"
"Riga","Riga","26.6553","85.4420","India","IN","IND","Bihār","","29974","1356117708"
"Vilnius","Vilnius","54.6872","25.2800","Lithuania","LT","LTU","Vilniaus Miestas","primary","581475","1440887149"
"Catania","Catania","37.5027","15.0873","Italy","IT","ITA","Sicilia","minor","311584","1380562508"
"Tokyo","Tokyo","35.6870","139.7495","Japan","JP","JPN","Tōkyō","primary","37785000","1392685764"
"Jakarta","Jakarta","-6.1750","106.8275","Indonesia","ID","IDN","Jakarta","primary","33756000","1360771077"
"Delhi","Delhi","28.6100","77.2300","India","IN","IND","Delhi","admin","32226000","1356872604"
"New York","New York","40.6943","-73.9249","United States","US","USA","New York","","18832416","1840034016"
"Buenos Aires","Buenos Aires","-34.6036","-58.3814","Argentina","AR","ARG","Buenos Aires, Ciudad Autónoma de","primary","16710000","1032717330"
"Buenos Aires","Buenos Aires","2.9167","-76.6667","Colombia","CO","COL","Cauca","minor","35197","1170770289"
"Buenos Aires","Buenos Aires","-7.7258","-35.3269","Brazil","BR","BRA","Pernambuco","minor","12808","1076935774"
"Cairo","Cairo","30.0444","31.2358","Egypt","EG","EGY","Al Qāhirah","primary","20296000","1818253931"
"Nairobi","Nairobi","-1.2864","36.8172","Kenya","KE","KEN","Nairobi City","primary","5545000","1404000661"
"Beijing","Beijing","39.9067","116.3975","China","CN","CHN","Beijing","primary","18522000","1156228865"
"Ottawa","Ottawa","45.4247","-75.6950","Canada","CA","CAN","Ontario","primary","1068821","1124399363"
"Ottawa","Ottawa","41.3555","-88.8261","United States","US","USA","Illinois","","18714","1840009272"
"Ottawa","Ottawa","38.5996","-95.2636","United States","US","USA","Kansas","","12632","1840003840"
"Canberra","Canberra","-35.2931","149.1269","Australia","AU","AUS","Australian Capital Territory","primary","381488","1036142029"
"Brasília","Brasilia","-15.7939","-47.8828","Brazil","BR","BRA","Distrito Federal","primary","141742","1076144436"
"Seoul","Seoul","37.5667","126.9833","Korea, South","KR","KOR","Seoul","primary","23016000","1410836482"
"Moscow","Moscow","55.7506","37.6175","Russia","RU","RUS","Moskva","primary","17332000","1643318494"
